"country","city","avg_units_sold"
"Australia","not available in demo dataset","1"
"Australia","Sydney","1"
"Austria","not available in demo dataset","1"
"Belgium","not available in demo dataset","1"
"Bulgaria","not available in demo dataset","3"
"Canada","Toronto","5"
"Canada","not available in demo dataset","3"
"Canada","Kitchener","1"
"Chile","Santiago","1"
"Colombia","Bogota","3"
"Colombia","not available in demo dataset","1"
"Denmark","not available in demo dataset","1"
"Egypt","not available in demo dataset","7"
"France","not available in demo dataset","1"
"France","Paris","1"
"France","Courbevoie","1"
"Germany","Munich","1"
"Germany","Berlin","1"
"Guatemala","not available in demo dataset","1"
"Hong Kong","(not set)","2"
"Hong Kong","Hong Kong","1"
"India","Hyderabad","2"
"India","not available in demo dataset","1"
"India","Ahmedabad","1"
"Indonesia","not available in demo dataset","1"
"Ireland","Dublin","1"
"Israel","Tel Aviv-Yafo","1"
"Japan","not available in demo dataset","4"
"Japan","Minato","3"
"Maldives","not available in demo dataset","1"
"Mexico","not available in demo dataset","2"
"Netherlands","not available in demo dataset","2"
"Portugal","not available in demo dataset","1"
"Romania","not available in demo dataset","1"
"Singapore","Singapore","1"
"South Korea","not available in demo dataset","1"
"Sweden","not available in demo dataset","1"
"Switzerland","Zurich","2"
"Switzerland","not available in demo dataset","1"
"Taiwan","not available in demo dataset","1"
"Taiwan","(not set)","1"
"Thailand","Bangkok","1"
"United Kingdom","London","1"
"United States","Los Angeles","37"
"United States","Austin","35"
"United States","Chicago","10"
"United States","Pittsburgh","8"
"United States","not available in demo dataset","5"
"United States","Mountain View","5"
"United States","Houston","5"
"United States","Sunnyvale","5"
"United States","Seattle","5"
"United States","San Francisco","4"
"United States","Atlanta","2"
"United States","San Jose","2"
"United States","New York","2"
"United States","Kirkland","2"
"United States","(not set)","2"
"United States","San Bruno","2"
"United States","Fremont","1"
"United States","Washington","1"
"United States","Dallas","1"
"United States","Ann Arbor","1"
"United States","Irvine","1"
"United States","Cupertino","1"
"United States","Palo Alto","1"
"United States","Detroit","1"
"Uruguay","Montevideo","1"
"Vietnam","not available in demo dataset","1"
