"total_orders","country","city","v2productcategory"
"5","(not set)","(not set)","Home/Shop by Brand/YouTube/"
"4","(not set)","(not set)","Home/Apparel/"
"3","(not set)","(not set)","Home/Apparel/Men's/Men's-T-Shirts/"
"3","(not set)","(not set)","Home/Drinkware/"
"1","(not set)","(not set)","Home/Lifestyle/"
"1","(not set)","(not set)","Home/Bags/"
"1","(not set)","(not set)","Home/Apparel/Men's/"
"1","(not set)","(not set)","Home/Apparel/Women's/Women's-T-Shirts/"
"1","(not set)","(not set)","Home/Accessories/Stickers/"
"1","(not set)","(not set)","Home/Apparel/Men's/Men's-Outerwear/"
"1","(not set)","(not set)","Home/Electronics/Audio/"
"1","(not set)","(not set)","Home/Shop by Brand/"
"1","(not set)","not available in demo dataset","Home/Apparel/"
"1","Albania","not available in demo dataset","Home/Apparel/Men's/"
"1","Albania","not available in demo dataset","Home/Shop by Brand/Google/"
"1","Albania","not available in demo dataset","Home/Shop by Brand/YouTube/"
"2","Algeria","not available in demo dataset","Home/Shop by Brand/YouTube/"
"1","Algeria","not available in demo dataset","Home/Electronics/"
"1","Algeria","not available in demo dataset","Home/Apparel/Kid's/"
"2","Argentina","Buenos Aires","Home/Bags/Backpacks/"
"1","Argentina","Buenos Aires","Home/Apparel/Men's/Men's-T-Shirts/"
"1","Argentina","Buenos Aires","Home/Office/"
"1","Argentina","Buenos Aires","Home/Apparel/Women's/Women's-T-Shirts/"
"1","Argentina","Buenos Aires","Home/Shop by Brand/YouTube/"
"1","Argentina","Buenos Aires","Home/Apparel/Men's/Men's-Outerwear/"
"1","Argentina","Buenos Aires","Home/Lifestyle/"
"1","Argentina","Buenos Aires","Home/Electronics/Flashlights/"
"8","Argentina","not available in demo dataset","Home/Shop by Brand/YouTube/"
"4","Argentina","not available in demo dataset","Home/Bags/"
"3","Argentina","not available in demo dataset","Home/Office/"
"3","Argentina","not available in demo dataset","Home/Apparel/Men's/Men's-T-Shirts/"
"2","Argentina","not available in demo dataset","Home/Apparel/"
"1","Argentina","not available in demo dataset","Home/Apparel/Men's/"
"1","Argentina","not available in demo dataset","Home/Electronics/"
"1","Argentina","not available in demo dataset","Home/Electronics/Audio/"
"1","Argentina","not available in demo dataset","Home/Drinkware/Water Bottles and Tumblers/"
"1","Argentina","not available in demo dataset","Home/Bags/Backpacks/"
"1","Argentina","not available in demo dataset","Home/Office/Notebooks & Journals/"
"1","Argentina","not available in demo dataset","(not set)"
"1","Argentina","not available in demo dataset","Home/Accessories/Fun/"
"1","Argentina","not available in demo dataset","Home/Shop by Brand/Google/"
"1","Argentina","not available in demo dataset","Home/Shop by Brand/Android/"
"1","Argentina","Rosario","Home/Apparel/Men's/"
"1","Argentina","Santa Fe","Home/Electronics/Electronics Accessories/"
"1","Argentina","Santa Fe","Home/Accessories/"
"1","Argentina","Santa Fe","Home/Electronics/Audio/"
"1","Armenia","not available in demo dataset","Home/Accessories/"
"1","Australia","Adelaide","Home/Apparel/Men's/Men's-Outerwear/"
"5","Australia","Brisbane","Home/Shop by Brand/YouTube/"
"2","Australia","Brisbane","(not set)"
"1","Australia","Brisbane","Home/Apparel/Men's/Men's-Outerwear/"
