"v2productcategory","num_countries","num_cities","total_orders"
"Home/Shop by Brand/YouTube/","108","104","2448"
"Home/Apparel/Men's/Men's-T-Shirts/","86","117","1955"
"Home/Electronics/","63","77","852"
"Home/Apparel/","52","96","831"
"(not set)","61","87","757"
"Home/Shop by Brand/Google/","60","76","729"
"Home/Office/","55","66","654"
"Home/Apparel/Men's/Men's-Outerwear/","56","72","613"
"Home/Drinkware/","51","71","514"
"Home/Bags/","54","71","511"
"Home/Nest/Nest-USA/","23","44","436"
"Home/Apparel/Men's/","48","60","409"
"Home/Apparel/Women's/Women's-T-Shirts/","44","54","403"
"Home/Accessories/","36","48","310"
"Home/Shop by Brand/Android/","48","47","292"
"Home/Apparel/Headgear/","33","49","252"
"Home/Accessories/Fun/","28","41","229"
"Home/Electronics/Audio/","32","44","211"
"Home/Accessories/Stickers/","36","38","188"
"Home/Lifestyle/","31","33","185"
"Home/Apparel/Women's/","26","35","175"
"Home/Electronics/Electronics Accessories/","30","34","165"
"Home/Shop by Brand/","37","37","154"
"Home/Drinkware/Water Bottles and Tumblers/","23","35","146"
"Home/Bags/Backpacks/","33","40","146"
"Home/Office/Notebooks & Journals/","32","31","138"
"Home/Apparel/Women's/Women's-Outerwear/","21","28","137"
"Home/Apparel/Men's/Men's-Performance Wear/","26","25","104"
"Home/Office/Writing Instruments/","22","24","100"
"Home/Accessories/Drinkware/","20","26","95"
"Home/Apparel/Kid's/Kid's-Infant/","17","27","85"
"Home/Apparel/Kid's/","16","21","76"
"Home/Bags/More Bags/","20","22","75"
"Home/Accessories/Housewares/","24","21","71"
"Home/Limited Supply/Bags/","18","21","64"
"Home/Apparel/Kid's/Kids-Youth/","9","19","60"
"Home/Electronics/Power/","14","16","54"
"Home/Apparel/Kid's/Kid's-Toddler/","12","18","52"
"Home/Apparel/Women's/Women's-Performance Wear/","13","15","48"
"Home/Drinkware/Mugs and Cups/","14","20","43"
"Home/Fruit Games/","15","15","39"
"Home/Accessories/Pet/","11","17","34"
"Home/Brands/YouTube/","8","8","34"
"Home/Electronics/Flashlights/","10","9","32"
"Home/Accessories/Sports & Fitness/","6","11","31"
"Home/Bags/Shopping and Totes/","8","13","29"
"Home/Office/Office Other/","8","9","27"
"Home/Brands/Android/","9","6","24"
"${escCatTitle}","5","10","19"
"Nest-USA","2","8","11"
"Apparel","3","8","11"
"Home/Spring Sale!/","2","5","10"
"Home/Clearance Sale/","2","8","10"
"Home/Gift Cards/","3","4","10"
"Wearables/Men's T-Shirts/","5","2","5"
"Home/Limited Supply/","2","1","4"
"Lifestyle/","2","3","3"
"Home/Fun/","2","2","3"
"Home/Lifestyle/Fun/","2","2","3"
"Home/Brands/","1","3","3"
"Home/Limited Supply/Bags/Backpacks/","2","2","3"
"Drinkware","1","2","3"
"Home/Shop by Brand/Waze/","1","2","3"
"Lifestyle","1","2","2"
"Electronics","1","1","2"
"Home/Kids/","2","1","2"
"Waze","1","2","2"
"Bags","1","2","2"
"YouTube","1","1","1"
"Home/Electronics/Accessories/Drinkware/","1","1","1"
"Headgear","1","1","1"
"Bottles/","1","1","1"
"Housewares","1","1","1"
"Office","1","1","1"
