"country","city","name","total_quantity","productsku"
"Argentina","not available in demo dataset"," Alpine Style Backpack","1","GGOEGBRJ037299"
"Canada","not available in demo dataset"," Twill Cap","1","GGOEYHPB072210"
"Canada","not available in demo dataset",NULL,"1","GGOEGOAB016099"
"Canada","not available in demo dataset"," Youth Short Sleeve T-shirt Green","1","GGOEGAAX0684"
"Colombia","not available in demo dataset"," Men's Short Sleeve Hero Tee Black","1","GGOEGAAX0318"
"Finland","not available in demo dataset"," Laptop and Cell Phone Stickers","1","GGOEGFKQ020399"
"France","not available in demo dataset","Android Wool Heather Cap Heather/Black","1","GGOEAHPA004110"
"India","Bengaluru",NULL,"1","GGOEGAAB033816"
"Ireland","Dublin"," Laptop Backpack","1","GGOEGBRB013899"
"Mexico","not available in demo dataset",NULL,"1","GGOEYAAB034614"
"Spain","Madrid"," Dress Socks","10","GGOEWAEA083899"
"United States","(not set)","Android Wool Heather Cap Heather/Black","1","GGOEAHPA004110"
"United States","Ann Arbor"," Men's Vintage Badge Tee Black","1","GGOEGAAX0338"
"United States","Atlanta",NULL,"4","GGOEGBJR018199"
"United States","Chicago"," Sunglasses","1","GGOEGHGR019499"
"United States","Columbus"," Men's Short Sleeve Badge Tee Charcoal","1","GGOEGAAJ032617"
"United States","Dallas"," Leatherette Notebook Combo","1","GGOEYOLR018699"
"United States","Detroit"," 22 oz Water Bottle","1","GGOEGDHC018299"
"United States","Houston"," Sunglasses","2","GGOEGAAX0037"
"United States","Los Angeles"," Men's Pullover Hoodie Grey","1","GGOEGAAX0362"
"United States","Mountain View"," Learning Thermostat 3rd Gen-USA - Stainless Steel","2","GGOENEBJ079499"
"United States","New York"," Protect Smoke + CO White Wired Alarm-USA","2","GGOENEBQ079199"
"United States","New York"," Men's 100% Cotton Short Sleeve Hero Tee White","2","GGOEGAAX0104"
"United States","not available in demo dataset","Leatherette Journal","65","GGOEGOCB017499"
"United States","Palo Alto"," Learning Thermostat 3rd Gen-USA - Stainless Steel","1","GGOENEBJ079499"
"United States","Salem","Red Spiral  Notebook","8","GGOEGOCT019199"
"United States","San Francisco"," Cam Outdoor Security Camera - USA","1","GGOENEBQ078999"
"United States","San Francisco",NULL,"1","GGOEGAAX0794"
"United States","San Jose"," Cam Indoor Security Camera - USA","1","GGOENEBB078899"
"United States","Seattle"," Cam Indoor Security Camera - USA","1","GGOENEBB078899"
"United States","Sunnyvale"," Cam Indoor Security Camera - USA","1","GGOENEBB078899"
"United States","Sunnyvale"," Cam Outdoor Security Camera - USA","1","GGOENEBQ078999"
