"country","city","total_revenue"
"United States","not available in demo dataset","14641.05"
"United States","Mountain View","9626.09"
"United States","Austin","5043.21"
"United States","Sunnyvale","2762.25"
"United States","Chicago","2264.18"
"United States","San Francisco","1333.59"
"United States","Seattle","1246.99"
"United States","San Jose","1155.97"
"United States","Palo Alto","1092.99"
"United States","New York","941.90"
"Mexico","not available in demo dataset","494.99"
"Canada","Toronto","398.92"
"United Kingdom","London","371.96"
"Sweden","not available in demo dataset","347.98"
"United States","Pittsburgh","299.80"
"United States","Los Angeles","256.28"
"Japan","not available in demo dataset","236.75"
"United States","San Bruno","217.47"
"Canada","not available in demo dataset","200.95"
"Hong Kong","(not set)","191.97"
"Colombia","Bogota","135.97"
"United States","Fremont","119.00"
"United States","Cupertino","119.00"
"United States","Atlanta","113.95"
"Ireland","Dublin","99.99"
"Indonesia","not available in demo dataset","99.99"
"Maldives","not available in demo dataset","99.99"
"Chile","Santiago","99.99"
"Egypt","not available in demo dataset","76.44"
"Netherlands","not available in demo dataset","66.97"
"United States","Kirkland","61.98"
"Guatemala","not available in demo dataset","59.99"
"United States","Irvine","55.43"
"Japan","Minato","51.97"
"Switzerland","Zurich","43.97"
"United States","(not set)","42.48"
"United States","Washington","37.99"
"United States","Ann Arbor","35.98"
"Israel","Tel Aviv-Yafo","34.99"
"Australia","not available in demo dataset","32.47"
"Bulgaria","not available in demo dataset","26.95"
"Taiwan","(not set)","25.98"
"Belgium","not available in demo dataset","24.99"
"Thailand","Bangkok","24.99"
"Denmark","not available in demo dataset","24.99"
"India","not available in demo dataset","20.97"
"Hong Kong","Hong Kong","18.99"
"France","Paris","17.99"
"United States","Houston","17.50"
"France","not available in demo dataset","17.49"
"Uruguay","Montevideo","16.99"
"Taiwan","not available in demo dataset","16.99"
"Vietnam","not available in demo dataset","16.99"
"Switzerland","not available in demo dataset","16.99"
"Canada","Kitchener","15.19"
"Austria","not available in demo dataset","12.99"
"Germany","Berlin","12.99"
"Germany","Munich","10.99"
"Australia","Sydney","7.99"
"Singapore","Singapore","7.60"
"United States","Dallas","6.99"
"India","Hyderabad","6.50"
"Portugal","not available in demo dataset","4.99"
"France","Courbevoie","3.99"
"India","Ahmedabad","3.99"
"Romania","not available in demo dataset","2.99"
"United States","Detroit","2.99"
"South Korea","not available in demo dataset","2.99"
"Colombia","not available in demo dataset","1.50"
