"fullvisitorid","date","units_sold","unit_price","revenue"
"6206228806761802398","2017-06-08",4324,"145.99","631260.76"
"1869599090210681270","2017-06-05",825,"651.75","537693.75"
"1869599090210681270","2017-06-08",825,"651.75","537693.75"
"7125715540095262764","2017-07-31",500,"995.00","497500.00"
"9927137011932170896","2017-07-26",500,"995.00","497500.00"
"6654893639240113130","2017-07-26",500,"995.00","497500.00"
"9927137011932170896","2017-07-31",500,"995.00","497500.00"
"6654893639240113130","2017-07-31",500,"995.00","497500.00"
"0095747507496204221","2017-06-16",475,"945.25","448993.75"
"1957458976293878100","2017-06-14",500,"750.00","375000.00"
"7113011772090059658","2017-06-13",400,"796.00","318400.00"
"6654893639240113130","2017-07-21",300,"897.00","269100.00"
"0069486905584188344","2017-07-01",300,"897.00","269100.00"
"1957458976293878100","2017-06-30",300,"897.00","269100.00"
"278873998304965550","2017-07-21",300,"897.00","269100.00"
"3894103929344760120","2017-06-12",500,"495.00","247500.00"
"6654893639240113130","2017-07-24",350,"696.50","243775.00"
"9705228674184876468","2017-06-04",400,"480.00","192000.00"
"2479467739525533377","2017-05-08",200,"958.00","191600.00"
"2479467739525533377","2017-05-03",200,"958.00","191600.00"
"9681060687378784629","2017-07-24",300,"597.00","179100.00"
"278873998304965550","2017-07-21",300,"597.00","179100.00"
"6654893639240113130","2017-07-21",300,"597.00","179100.00"
"9681060687378784629","2017-07-21",220,"657.80","144716.00"
"9026840718082010040","2017-05-19",170,"848.30","144211.00"
"9026840718082010040","2017-07-07",210,"627.90","131859.00"
"79204932396995037","2017-06-14",160,"798.40","127744.00"
"0710632165228073636","2017-06-12",200,"598.00","119600.00"
"7009859234953753073","2017-07-31",170,"569.50","96815.00"
"1729388992500827205","2017-07-23",146,"642.40","93790.40"
"0069486905584188344","2017-07-01",307,"303.93","93306.51"
"0232377434237234751","2017-05-16",363,"249.00","90387.00"
"977708631806601348","2017-07-21",120,"738.00","88560.00"
"1729388992500827205","2017-07-25",130,"572.00","74360.00"
"0291002892578472269","2017-05-05",91,"799.89","72789.99"
"6750341726655002083","2017-07-06",150,"478.50","71775.00"
"6750341726655002083","2017-07-05",150,"478.50","71775.00"
"9947542428111966715","2017-08-01",72,"950.40","68428.80"
"8269333063711113300","2017-08-01",80,"850.40","68032.00"
"8620113165712973026","2017-07-24",218,"305.20","66533.60"
"8620113165712973026","2017-07-24",217,"303.80","65924.60"
"3662177742807173577","2017-06-14",125,"498.75","62343.75"
"2760321897851747654","2017-07-12",100,"615.00","61500.00"
"977708631806601348","2017-08-01",100,"615.00","61500.00"
"3637968803911090278","2017-07-10",160,"382.40","61184.00"
"1729388992500827205","2017-07-25",65,"936.00","60840.00"
"9441031549900042682","2017-05-15",157,"375.23","58911.11"
"0634506282991036601","2017-05-02",140,"418.60","58604.00"
"1957458976293878100","2017-06-08",140,"418.60","58604.00"
"2536718676534980101","2017-06-12",110,"526.90","57959.00"
"9026840718082010040","2017-05-19",170,"338.30","57511.00"
"9681060687378784629","2017-07-28",120,"478.80","57456.00"
"4663624118007682021","2017-07-28",132,"421.08","55582.56"
"0634506282991036601","2017-05-02",135,"403.65","54492.75"
"5082563130101167793","2017-05-12",98,"547.82","53686.36"
"6349916551056809056","2017-05-03",123,"430.50","52951.50"
"8620113165712973026","2017-07-24",193,"270.20","52148.60"
"64081240582624584","2017-05-07",160,"318.40","50944.00"
"6750341726655002083","2017-07-13",103,"493.37","50817.11"
"7113011772090059658","2017-06-13",100,"499.00","49900.00"
"3662177742807173577","2017-06-15",62,"792.98","49164.76"
"2091708218998967059","2017-05-26",60,"805.80","48348.00"
"2536718676534980101","2017-06-12",110,"438.90","48279.00"
"5341165345511566974","2017-05-31",120,"382.80","45936.00"
"9681060687378784629","2017-07-18",100,"450.00","45000.00"
"2278702264451940418","2017-07-28",200,"222.00","44400.00"
"2143133078996659955","2017-07-18",88,"491.92","43288.96"
"804688559095985023","2017-07-20",70,"615.30","43071.00"
"2561766876806190577","2017-07-16",55,"769.45","42319.75"
"6750341726655002083","2017-07-13",93,"445.47","41428.71"
"5469079519715865124","2017-05-31",45,"899.55","40479.75"
"2143133078996659955","2017-07-18",85,"475.15","40387.75"
"515770511624914543","2017-05-10",100,"399.00","39900.00"
"5857676743018965961","2017-05-11",100,"399.00","39900.00"
"9661775944684760384","2017-05-24",100,"399.00","39900.00"
"6139338832204657544","2017-06-01",100,"399.00","39900.00"
"0339607919256111349","2017-06-14",79,"504.81","39879.99"
"0291002892578472269","2017-05-05",67,"588.93","39458.31"
"3825597317221432393","2017-07-26",100,"390.00","39000.00"
"8074041050560984021","2017-07-26",100,"390.00","39000.00"
"6750341726655002083","2017-07-13",90,"431.10","38799.00"
"6750341726655002083","2017-07-13",88,"421.52","37093.76"
"704517575703213628","2017-07-07",100,"350.00","35000.00"
"6849883907378511530","2017-06-01",85,"407.15","34607.75"
"6849883907378511530","2017-05-31",85,"407.15","34607.75"
"2143133078996659955","2017-07-18",78,"436.02","34009.56"
"2170569635987649718","2017-07-19",100,"335.00","33500.00"
"560643294951530798","2017-07-19",100,"335.00","33500.00"
"0327908158876074186","2017-05-22",1111,"29.99","33318.89"
"6916059234811697621","2017-07-25",58,"556.80","32294.40"
"5586779232448250343","2017-07-06",40,"799.60","31984.00"
"5185645869012304658","2017-07-14",100,"319.00","31900.00"
"5185645869012304658","2017-06-20",100,"319.00","31900.00"
"3948936105865802619","2017-06-17",200,"158.00","31600.00"
"9705228674184876468","2017-06-04",200,"158.00","31600.00"
"4910843002602340992","2017-07-31",50,"615.50","30775.00"
"9547536437145935282","2017-06-29",45,"683.55","30759.75"
"3662177742807173577","2017-06-15",62,"495.38","30713.56"
"1139019058919826253","2017-05-01",80,"383.20","30656.00"
"8420677006492094603","2017-06-09",100,"299.00","29900.00"
"3354041583654515139","2017-07-10",100,"299.00","29900.00"
"3052828106337222847","2017-07-13",42,"705.18","29617.56"
"4704759198904427269","2017-05-31",85,"339.15","28827.75"
"9026840718082010040","2017-05-19",170,"168.30","28611.00"
"3882753124935506824","2017-07-11",59,"471.41","27813.19"
"3301502585981730243","2017-07-20",70,"391.30","27391.00"
"3301502585981730243","2017-07-21",70,"391.30","27391.00"
"2278233409061102838","2017-07-27",40,"679.60","27184.00"
"0069486905584188344","2017-07-01",100,"250.00","25000.00"
"0069486905584188344","2017-07-01",50,"499.50","24975.00"
"9026840718082010040","2017-05-23",75,"329.00","24675.00"
"1970286404694323593","2017-06-07",70,"349.30","24451.00"
"7761592310264777592","2017-06-12",70,"349.30","24451.00"
"9547536437145935282","2017-06-29",40,"607.60","24304.00"
"2604472846435898379","2017-06-22",55,"439.45","24169.75"
"7633617417024470547","2017-07-19",100,"239.00","23900.00"
"3948936105865802619","2017-06-17",100,"239.00","23900.00"
"9661775944684760384","2017-05-24",100,"239.00","23900.00"
"804688559095985023","2017-07-20",70,"336.00","23520.00"
"1660187981705413872","2017-07-25",82,"286.18","23466.76"
"3847010446682215352","2017-06-14",34,"679.66","23108.44"
"3847010446682215352","2017-06-15",34,"679.66","23108.44"
"5305766847404257881","2017-05-24",30,"749.70","22491.00"
"0220695720492664721","2017-05-16",75,"299.25","22443.75"
"3052828106337222847","2017-07-13",29,"771.11","22362.19"
"2419083783587438310","2017-05-05",150,"148.50","22275.00"
"9026840718082010040","2017-05-19",85,"254.15","21602.75"
"3052828106337222847","2017-07-13",28,"744.52","20846.56"
"7048142789651941273","2017-06-13",80,"255.20","20416.00"
"9576072835237076509","2017-06-19",65,"311.35","20237.75"
"977708631806601348","2017-08-01",100,"200.00","20000.00"
"9661775944684760384","2017-05-24",100,"200.00","20000.00"
"7640844068811990915","2017-05-01",50,"399.50","19975.00"
"1452613891025216774","2017-06-09",50,"399.50","19975.00"
"980432803323288584","2017-06-12",100,"199.00","19900.00"
"7311242886083854158","2017-07-10",100,"199.00","19900.00"
"6847022427590388886","2017-06-13",100,"199.00","19900.00"
"3677965664569742253","2017-07-27",100,"199.00","19900.00"
"6847022427590388886","2017-06-14",100,"199.00","19900.00"
"6151192297026203838","2017-06-08",70,"279.30","19551.00"
"3052828106337222847","2017-07-13",27,"717.93","19384.11"
"6208898110027575945","2017-06-13",90,"215.10","19359.00"
"5039450677611598907","2017-07-05",20,"959.80","19196.00"
"9437730054986645276","2017-06-08",40,"479.60","19184.00"
"1762309596636885789","2017-06-12",40,"479.60","19184.00"
"804688559095985023","2017-07-24",40,"479.60","19184.00"
"5989963282036287495","2017-05-23",40,"479.60","19184.00"
"8443643406410739523","2017-06-29",35,"531.65","18607.75"
"4310266508515206393","2017-06-16",30,"599.70","17991.00"
"3052828106337222847","2017-07-13",26,"691.34","17974.84"
"5469079519715865124","2017-05-31",45,"395.55","17799.75"
"2404730522088263435","2017-05-07",40,"439.60","17584.00"
"5209582864465205132","2017-07-11",60,"287.40","17244.00"
"9947542428111966715","2017-08-01",40,"425.20","17008.00"
"6204463650092781278","2017-06-20",55,"307.45","16909.75"
"8983751556062713329","2017-05-09",75,"224.25","16818.75"
"8983751556062713329","2017-05-10",75,"224.25","16818.75"
"3052828106337222847","2017-07-13",25,"664.75","16618.75"
"4772959870976303865","2017-06-09",101,"160.59","16219.59"
"5469079519715865124","2017-05-31",19,"851.01","16169.19"
"6916059234811697621","2017-07-25",58,"278.40","16147.20"
"3704081881488905199","2017-05-05",20,"799.80","15996.00"
"5039450677611598907","2017-07-05",20,"799.80","15996.00"
"0941726438399473483","2017-06-02",100,"159.00","15900.00"
"9441031549900042682","2017-05-15",100,"159.00","15900.00"
"9661775944684760384","2017-05-24",100,"159.00","15900.00"
"2170569635987649718","2017-07-19",100,"159.00","15900.00"
"0220695720492664721","2017-05-16",100,"159.00","15900.00"
"4711840868770862345","2017-05-22",100,"159.00","15900.00"
"5112369122544987822","2017-05-03",100,"159.00","15900.00"
"4663624118007682021","2017-07-28",75,"210.00","15750.00"
"4604965471651937146","2017-06-28",72,"215.28","15500.16"
"7819357531996452181","2017-06-12",29,"533.31","15465.99"
"9947542428111966715","2017-08-01",52,"290.68","15115.36"
"6847022427590388886","2017-06-13",100,"150.00","15000.00"
"6847022427590388886","2017-06-14",100,"150.00","15000.00"
"7862709801346463450","2017-05-23",50,"299.50","14975.00"
"0851735227654844703","2017-05-03",50,"299.50","14975.00"
"3985673415149125196","2017-05-03",100,"149.00","14900.00"
"7273056780415192375","2017-06-14",25,"577.25","14431.25"
"4561354580218974903","2017-07-14",60,"239.40","14364.00"
"1977171862732443916","2017-06-12",40,"351.60","14064.00"
"804688559095985023","2017-07-20",40,"351.60","14064.00"
"2404730522088263435","2017-05-07",40,"351.60","14064.00"
"5586779232448250343","2017-07-06",40,"351.60","14064.00"
"2170569635987649718","2017-07-19",100,"140.00","14000.00"
"2996218243014661996","2017-06-29",20,"699.80","13996.00"
"0335980904099618731","2017-06-02",50,"279.50","13975.00"
"6204463650092781278","2017-06-20",50,"279.50","13975.00"
"8912902059525758308","2017-07-05",30,"455.70","13671.00"
"5305766847404257881","2017-05-24",30,"455.70","13671.00"
"1229559694521011094","2017-07-03",30,"455.70","13671.00"
"1260431109777470566","2017-05-08",26,"519.74","13513.24"
"9170450146722277059","2017-05-12",58,"231.42","13422.36"
"1879638979746899481","2017-07-19",47,"282.00","13254.00"
"9905311969174475927","2017-07-31",31,"418.50","12973.50"
"3052828106337222847","2017-07-13",22,"584.98","12869.56"
"7984761365552483293","2017-06-09",40,"319.60","12784.00"
"0232377434237234751","2017-05-11",531,"23.99","12738.69"
"3825597317221432393","2017-07-26",80,"159.20","12736.00"
"0232377434237234751","2017-05-11",530,"23.99","12714.70"
"3985673415149125196","2017-05-03",85,"149.00","12665.00"
"3921649958751416379","2017-06-14",30,"419.70","12591.00"
"8355761719753398617","2017-05-19",25,"499.75","12493.75"
"2676039319315678532","2017-05-25",1121,"10.99","12319.79"
"0678746332068996550","2017-05-05",35,"349.65","12237.75"
"9341891163458549514","2017-05-29",55,"219.45","12069.75"
"306506050494818379","2017-07-26",50,"240.00","12000.00"
"0898438411847166329","2017-06-07",50,"239.50","11975.00"
"7181128763936845788","2017-07-13",30,"389.70","11691.00"
"9584499630008944934","2017-07-22",30,"389.70","11691.00"
"848832409381195628","2017-05-18",34,"339.66","11548.44"
"387586702401510909","2017-07-26",24,"479.76","11514.24"
"4604965471651937146","2017-06-28",26,"441.74","11485.24"
"1139019058919826253","2017-06-05",60,"191.40","11484.00"
"4974690847354957751","2017-05-11",32,"358.08","11458.56"
"2604472846435898379","2017-06-14",32,"358.08","11458.56"
"4974690847354957751","2017-05-12",32,"358.08","11458.56"
"0220695720492664721","2017-05-16",45,"251.55","11319.75"
"0616530401183877867","2017-06-06",75,"149.25","11193.75"
"037324303090551054","2017-07-18",14,"783.86","10974.04"
"5498668051057208787","2017-07-27",30,"360.00","10800.00"
"0157592049434831040","2017-05-26",35,"307.65","10767.75"
"9681060687378784629","2017-07-21",60,"179.40","10764.00"
"2539528655626971232","2017-05-15",43,"249.00","10707.00"
"3052828106337222847","2017-07-13",26,"400.14","10403.64"
"7308095176976751222","2017-06-27",32,"322.24","10311.68"
"1977171862732443916","2017-06-12",80,"127.20","10176.00"
"8484431848057067080","2017-05-09",60,"168.00","10080.00"
"2604472846435898379","2017-06-14",30,"335.70","10071.00"
"4561354580218974903","2017-07-14",50,"199.50","9975.00"
"512988788718016553","2017-05-16",50,"199.50","9975.00"
"6814131569143407041","2017-06-05",100,"99.00","9900.00"
"6847022427590388886","2017-06-14",100,"99.00","9900.00"
"6847022427590388886","2017-06-13",100,"99.00","9900.00"
"3269834865385146569","2017-06-13",100,"99.00","9900.00"
"804688559095985023","2017-07-20",70,"140.00","9800.00"
"3753158727494093380","2017-05-11",35,"279.65","9787.75"
"2536718676534980101","2017-06-12",111,"87.69","9733.59"
"9547536437145935282","2017-06-29",45,"215.55","9699.75"
"7305760227138884824","2017-07-11",22,"439.78","9675.16"
"2278233409061102838","2017-07-27",40,"240.00","9600.00"
"1775822860837086573","2017-07-26",40,"240.00","9600.00"
"5901800016068636360","2017-05-07",48,"199.00","9552.00"
"5632994425337545327","2017-05-10",25,"379.75","9493.75"
"9681060687378784629","2017-07-18",15,"629.85","9447.75"
"1957458976293878100","2017-05-26",48,"191.52","9192.96"
"0220695720492664721","2017-05-16",45,"201.15","9051.75"
"1945356518747036397","2017-05-09",19,"475.00","9025.00"
"2818796658906330904","2017-07-07",32,"281.28","9000.96"
"3704081881488905199","2017-05-05",15,"599.85","8997.75"
"4352760646905266733","2017-06-12",30,"299.70","8991.00"
"1977171862732443916","2017-06-12",40,"223.60","8944.00"
"9441031549900042682","2017-05-15",75,"119.25","8943.75"
"1957458976293878100","2017-05-26",47,"187.53","8813.91"
"0232377434237234751","2017-05-11",302,"28.99","8754.98"
"1477143410600542475","2017-05-11",302,"28.99","8754.98"
"1965405491406486388","2017-06-09",50,"175.00","8750.00"
"0152038891710933748","2017-06-22",50,"175.00","8750.00"
"9089132392240687728","2017-05-02",25,"349.75","8743.75"
"9170450146722277059","2017-05-12",52,"165.88","8625.76"
"3052828106337222847","2017-07-13",18,"478.62","8615.16"
"3753158727494093380","2017-05-11",35,"244.65","8562.75"
"566055411938639598","2017-05-30",25,"332.25","8306.25"
"8620113165712973026","2017-07-19",54,"151.20","8164.80"
