"column_name","total_num_of_rows","num_of_null_val","num_of_distinct_val"
"timeonsite","15134","3300","1266"
"pageviews","15134","0","29"
"sessionqualitydim","15134","13906","44"
"date","15134","0","366"
"itemquantity","15134","15134","0"
"itemrevenue","15134","15134","0"
"transactionrevenue","15134","15130","4"
"time","15134","0","9600"
"totaltransactionrevenue","15134","15053","72"
"productrefundamount","15134","15134","0"
"productquantity","15134","15081","8"
"ecommerceaction_type","15134","0","7"
"ecommerceaction_step","15134","0","3"
"productprice","15134","0","141"
"timeonsite_proper","15134","3300","1266"
"time_proper","15134","0","9600"
"productrevenue","15134","15130","4"
"transactions","15134","15053","1"
"productsku","15134","0","536"
"channelgrouping","15134","0","7"
"country","15134","0","136"
"city","15134","0","266"
"visitid","15134","0","14556"
"type","15134","0","2"
"fullvisitorid","15134","0","14223"
"v2productname","15134","0","471"
"v2productcategory","15134","0","74"
"productvariant","15134","0","11"
"currencycode","15134","272","1"
"transactionid","15134","15125","9"
"pagetitle","15134","1","268"
"searchkeyword","15134","15134","0"
"pagepathlevel1","15134","0","11"
"ecommerceaction_option","15134","15103","3"
